N,P,K,pH,temperature,humidity,rainfall,region,label
44,53,20,6.5,32.1,74.8,48.9,Ballari,Blackgram
27,52,28,6.2,32.0,13.9,121.8,Tumakuru,Pigeonpeas
42,36,44,6.3,26.8,93.2,256.6,Ballari,Papaya
17,25,32,4.9,30.6,50.3,91.4,Shivamogga,Mango
45,66,12,6.9,31.6,73.4,98.3,Belagavi,Blackgram
44,62,55,6.5,29.6,90.3,232.9,Chitradurga,Papaya
106,81,49,5.7,32.0,85.7,97.3,Chitradurga,Banana
37,79,19,6.8,30.9,12.4,74.0,Mandya,Pigeonpeas
90,5,52,7.0,22.2,80.2,38.7,Tumakuru,Watermelon
91,91,53,6.7,31.3,73.0,74.1,Chitradurga,Banana
12,37,14,4.6,32.8,34.0,17.9,Chitradurga,Mothbeans
18,71,39,6.2,24.4,16.2,56.6,Chitradurga,Chickpea
26,60,18,5.5,21.4,18.8,81.5,Hassan,Kidneybeans
106,88,56,5.6,29.9,77.3,116.7,Belagavi,Banana
87,62,25,6.9,16.1,73.3,61.5,Hassan,Maize
27,30,36,7.1,16.7,84.9,100.7,Davanagere,Pomegranate
96,17,22,7.1,21.2,59.9,186.2,Mandya,Coffee
22,17,47,6.3,19.1,87.4,107.6,Vijayapura,Pomegranate
121,61,11,7.1,25.2,58.1,58.8,Belagavi,Cotton
41,63,20,7.1,33.3,64.4,83.7,Ballari,Blackgram
88,57,16,6.6,20.9,60.4,88.8,Ballari,Maize
21,25,30,4.9,35.4,57.9,103.2,Chitradurga,Mango
51,39,43,6.7,24.0,89.4,138.6,Mysuru,Papaya
54,34,55,6.6,24.4,86.2,233.3,Chitradurga,Papaya
70,64,44,7.2,23.2,88.3,166.1,Chitradurga,Jute
10,31,39,5.3,33.4,49.0,70.3,Belagavi,Mango
55,58,41,7.0,34.2,99.8,189.4,Tumakuru,Papaya
117,58,26,7.2,22.3,53.9,111.8,Chitradurga,Cotton
103,86,44,6.1,26.5,78.0,138.4,Hassan,Banana
17,73,15,5.9,24.3,11.7,124.2,Tumakuru,Kidneybeans
89,5,47,7.0,25.9,83.5,56.8,Belagavi,Watermelon
48,74,22,7.4,29.8,68.3,50.2,Chitradurga,Blackgram
93,57,44,7.3,22.5,83.7,201.8,Mandya,Jute
90,77,42,5.3,29.8,87.9,129.0,Chitradurga,Banana
97,29,52,5.8,25.9,75.1,70.2,Mandya,Muskmelon
106,12,52,6.6,26.9,79.0,26.7,Ballari,Watermelon
22,20,0,7.6,15.3,89.6,107.4,Hassan,Orange
27,79,41,7.4,24.6,11.6,59.3,Davanagere,Chickpea
56,59,46,7.2,23.5,98.1,147.8,Davanagere,Papaya
104,21,41,6.1,25.0,82.7,58.5,Shivamogga,Muskmelon
12,46,15,7.0,27.9,68.3,25.6,Mysuru,Mungbean
38,53,56,6.4,31.5,99.6,241.5,Davanagere,Papaya
21,36,45,5.5,17.1,88.5,102.4,Ballari,Pomegranate
22,69,21,5.8,22.9,21.7,164.8,Mysuru,Kidneybeans
62,34,38,6.9,18.2,87.1,295.8,Mysuru,Rice
23,10,9,7.2,24.8,96.3,134.8,Mysuru,Orange
33,34,18,7.5,24.6,91.9,127.5,Shivamogga,Orange
13,120,195,5.8,23.8,90.8,123.4,Belagavi,Apple
29,61,20,7.5,24.3,17.6,40.7,Mandya,Lentil
22,48,13,5.9,24.2,40.5,68.3,Tumakuru,Mothbeans
86,14,31,6.5,22.7,48.1,159.3,Mysuru,Coffee
13,124,193,6.4,22.5,92.3,117.6,Tumakuru,Apple
25,53,27,5.9,33.6,28.4,21.1,Mandya,Mothbeans
93,8,52,6.4,29.0,86.1,58.9,Mandya,Muskmelon
19,63,22,6.3,22.2,23.8,31.9,Ballari,Lentil
88,91,58,6.0,26.5,73.2,96.3,Belagavi,Banana
33,69,17,7.2,35.9,70.2,80.5,Belagavi,Blackgram
91,31,30,6.2,21.0,45.3,147.0,Vijayapura,Coffee
74,52,47,6.3,23.6,72.4,168.2,Davanagere,Jute
66,55,32,7.4,25.4,78.9,196.4,Vijayapura,Jute
32,14,29,5.7,29.7,98.1,131.8,Chitradurga,Coconut
51,29,41,6.8,38.8,95.1,239.2,Mysuru,Papaya
32,15,20,5.3,24.9,96.3,235.7,Ballari,Coconut
90,9,53,5.8,25.0,88.6,33.1,Chitradurga,Muskmelon
83,58,28,6.7,20.0,72.5,78.5,Hassan,Maize
19,22,28,5.5,35.7,52.3,75.8,Belagavi,Mango
22,10,14,6.2,18.7,99.1,102.7,Tumakuru,Orange
27,131,209,5.7,17.7,87.3,92.3,Shivamogga,Grapes
19,61,29,5.9,25.5,14.9,62.3,Belagavi,Kidneybeans
27,33,38,7.2,17.6,80.4,92.2,Belagavi,Pomegranate
12,35,45,6.0,18.0,91.3,91.0,Shivamogga,Pomegranate
114,8,40,6.0,31.6,92.8,79.7,Mandya,Muskmelon
81,54,45,7.3,25.6,84.8,201.7,Mandya,Jute
25,53,19,5.5,29.1,32.8,28.3,Vijayapura,Mothbeans
23,125,196,6.5,26.6,76.1,65.6,Chitradurga,Grapes
130,38,23,5.9,26.3,68.4,117.1,Shivamogga,Cotton
25,44,26,6.5,26.0,73.7,62.9,Chitradurga,Mungbean
17,63,18,5.1,28.8,16.0,155.8,Ballari,Pigeonpeas
20,26,37,5.6,24.5,91.7,146.3,Mysuru,Coconut
12,45,19,7.0,29.3,61.0,49.2,Tumakuru,Mungbean
134,51,23,6.8,26.4,57.8,68.8,Ballari,Cotton
28,74,14,5.9,22.9,12.9,57.4,Chitradurga,Kidneybeans
17,34,26,5.6,36.5,41.0,78.2,Vijayapura,Mango
86,53,42,7.3,23.1,74.9,183.4,Tumakuru,Jute
13,32,46,5.6,18.0,92.5,112.5,Mysuru,Pomegranate
114,46,17,7.2,26.7,48.6,111.8,Ballari,Cotton
20,142,205,5.3,29.9,89.8,93.4,Mandya,Grapes
23,66,14,6.6,18.4,26.7,61.7,Vijayapura,Lentil
25,65,28,7.6,27.3,13.6,65.2,Mysuru,Lentil
17,46,24,4.2,27.1,56.9,21.5,Tumakuru,Mothbeans
12,27,10,6.0,20.4,93.5,116.7,Tumakuru,Orange
30,12,9,6.9,24.2,95.1,119.7,Davanagere,Orange
19,46,18,4.4,31.1,54.9,62.5,Davanagere,Mothbeans
20,57,17,7.1,29.7,63.9,26.9,Shivamogga,Mungbean
16,33,14,6.8,24.6,52.9,22.3,Hassan,Mothbeans
11,33,47,6.5,24.9,75.9,94.6,Mysuru,Pomegranate
85,21,43,6.1,26.6,79.0,47.4,Tumakuru,Watermelon
76,42,41,6.3,28.8,77.1,144.9,Davanagere,Rice
115,17,51,6.3,27.4,87.4,25.7,Belagavi,Muskmelon
18,129,198,6.3,22.0,93.0,103.2,Vijayapura,Apple
24,69,12,5.9,24.4,10.5,42.1,Mandya,Kidneybeans
12,25,45,5.6,23.9,98.5,123.2,Mandya,Pomegranate
25,44,28,6.0,23.3,50.7,15.4,Chitradurga,Mothbeans
27,35,14,9.0,32.6,55.7,60.5,Chitradurga,Mothbeans
24,24,35,6.7,23.4,97.9,118.7,Mysuru,Pomegranate
44,63,15,7.4,34.4,72.9,92.1,Mysuru,Blackgram
10,33,24,5.1,29.4,94.1,199.3,Ballari,Coconut
43,142,201,5.9,20.9,87.9,100.3,Tumakuru,Apple
97,15,52,6.6,26.7,92.6,36.5,Vijayapura,Watermelon
18,21,2,6.2,31.8,99.9,109.5,Vijayapura,Orange
67,58,35,7.3,22.3,86.4,146.7,Hassan,Jute
94,55,15,7.2,26.3,54.3,78.8,Hassan,Maize
30,69,16,7.7,36.7,62.5,64.4,Chitradurga,Blackgram
41,78,45,6.2,23.1,13.1,27.4,Mysuru,Chickpea
99,15,55,7.1,26.1,91.5,38.8,Chitradurga,Watermelon
24,18,49,6.3,16.3,99.1,102.7,Vijayapura,Pomegranate
10,138,192,5.7,32.0,84.7,76.1,Hassan,Grapes
87,78,52,5.5,25.6,89.9,130.6,Ballari,Banana
27,39,44,5.6,20.3,97.0,137.3,Mandya,Pomegranate
22,43,10,4.8,30.6,52.4,58.6,Davanagere,Mothbeans
26,31,29,6.4,28.1,68.7,44.7,Mandya,Mungbean
16,27,26,5.1,30.3,43.9,116.3,Mandya,Mango
33,129,193,6.4,21.6,94.1,105.4,Hassan,Apple
21,13,1,6.8,12.3,99.8,130.8,Mysuru,Orange
26,48,13,8.4,28.0,30.3,51.8,Shivamogga,Mothbeans
15,81,47,7.5,22.8,24.5,33.3,Davanagere,Chickpea
20,13,38,5.6,27.5,43.6,70.7,Hassan,Mango
21,73,19,6.0,18.8,29.4,161.1,Shivamogga,Kidneybeans
23,51,21,5.3,25.0,19.7,135.0,Davanagere,Pigeonpeas
110,27,59,6.0,27.4,75.7,25.5,Mysuru,Watermelon
67,45,28,5.4,18.2,54.7,40.2,Mandya,Maize
120,17,52,6.3,27.7,81.6,29.8,Hassan,Muskmelon
42,50,17,6.1,30.3,29.9,103.4,Mysuru,Pigeonpeas
17,36,32,5.4,19.4,86.6,89.9,Hassan,Pomegranate
72,53,19,7.2,16.2,57.7,110.1,Tumakuru,Maize
118,37,25,6.1,22.4,62.4,90.4,Chitradurga,Cotton
11,18,30,6.0,27.8,96.5,168.2,Belagavi,Coconut
23,34,35,5.3,25.0,87.9,134.6,Chitradurga,Pomegranate
39,60,27,6.3,30.5,34.6,115.7,Davanagere,Pigeonpeas
88,7,51,6.2,29.3,84.0,65.7,Mysuru,Watermelon
10,13,8,7.4,28.0,86.1,96.8,Belagavi,Orange
18,124,207,5.6,31.5,85.5,52.0,Tumakuru,Grapes
92,45,35,7.3,24.7,91.6,199.4,Belagavi,Jute
22,38,25,7.3,26.5,52.5,50.2,Hassan,Mothbeans
14,54,18,7.1,25.1,57.6,60.7,Tumakuru,Mungbean
22,67,27,6.8,35.3,26.6,99.0,Tumakuru,Pigeonpeas
22,50,25,6.9,21.1,31.5,26.5,Mandya,Lentil
23,73,21,5.6,14.7,13.2,69.6,Shivamogga,Kidneybeans
58,33,52,6.7,40.3,98.4,256.4,Chitradurga,Papaya
21,70,23,6.1,26.8,23.8,158.0,Ballari,Kidneybeans
130,49,21,6.0,29.8,65.6,82.3,Shivamogga,Cotton
86,34,41,6.6,25.9,89.6,39.7,Vijayapura,Watermelon
15,55,25,4.2,30.4,30.7,38.3,Shivamogga,Mothbeans
83,50,32,7.3,26.9,89.9,180.5,Davanagere,Jute
29,48,25,6.3,30.3,67.3,70.2,Vijayapura,Mungbean
27,44,18,5.1,26.5,46.7,77.2,Tumakuru,Mothbeans
124,19,48,6.9,28.9,85.8,24.0,Hassan,Muskmelon
83,63,33,7.0,27.3,75.8,212.7,Mysuru,Jute
64,38,25,6.3,28.8,74.8,52.8,Ballari,Maize
86,69,56,6.3,24.1,80.2,92.4,Chitradurga,Banana
19,55,13,7.6,31.8,31.2,55.5,Shivamogga,Lentil
103,24,50,6.0,25.9,79.3,46.8,Tumakuru,Muskmelon
15,59,16,6.5,16.2,20.0,61.2,Tumakuru,Lentil
110,99,48,6.1,23.5,84.9,124.5,Shivamogga,Banana
87,66,47,6.6,23.8,76.6,130.1,Belagavi,Banana
29,32,20,7.0,29.0,50.7,85.8,Hassan,Mothbeans
114,47,12,6.7,24.9,73.7,97.2,Davanagere,Cotton
25,32,37,5.7,25.0,44.0,84.8,Ballari,Mango
11,58,23,6.7,28.0,65.8,47.9,Belagavi,Mungbean
14,17,25,6.1,28.1,86.2,179.7,Ballari,Coconut
27,50,19,5.8,30.0,28.0,164.7,Mandya,Pigeonpeas
96,6,54,6.3,26.5,80.5,58.1,Shivamogga,Watermelon
86,23,38,6.2,27.1,74.9,156.4,Tumakuru,Coffee
105,9,52,6.8,29.1,78.2,73.4,Belagavi,Watermelon
88,60,21,5.5,28.0,50.1,98.9,Belagavi,Maize
94,56,48,7.2,26.7,65.4,205.5,Davanagere,Jute
50,34,50,6.7,27.0,95.6,204.9,Mandya,Papaya
108,19,57,6.8,25.6,83.0,43.8,Davanagere,Muskmelon
24,60,32,5.7,27.3,13.2,61.3,Mandya,Pigeonpeas
16,130,202,5.6,29.1,77.8,73.6,Mysuru,Grapes
25,52,27,6.1,30.9,61.1,58.3,Ballari,Mungbean
26,121,191,5.6,30.5,84.6,67.5,Tumakuru,Grapes
28,53,42,7.3,19.8,17.7,56.8,Vijayapura,Chickpea
40,123,199,6.6,21.1,90.3,119.1,Vijayapura,Apple
86,10,48,6.7,29.0,90.0,78.4,Shivamogga,Watermelon
28,57,28,7.1,26.2,17.0,128.2,Tumakuru,Pigeonpeas
10,37,46,5.8,18.7,97.1,107.9,Belagavi,Pomegranate
19,32,10,6.1,28.8,59.6,61.1,Shivamogga,Mungbean
22,36,20,6.4,25.8,74.6,47.7,Tumakuru,Mungbean
92,51,19,6.6,23.6,57.6,70.6,Shivamogga,Maize
112,21,29,6.4,29.9,45.8,121.5,Chitradurga,Coffee
95,95,40,5.9,23.2,78.9,138.9,Chitradurga,Banana
87,65,59,5.7,29.3,83.2,84.8,Vijayapura,Banana
69,37,47,7.3,22.3,89.0,187.1,Ballari,Jute
25,35,26,8.9,31.9,62.5,78.2,Chitradurga,Mothbeans
86,19,37,6.0,22.7,68.9,177.2,Mandya,Coffee
48,54,24,7.4,33.5,69.1,64.3,Ballari,Blackgram
28,65,17,5.5,23.2,17.8,101.0,Davanagere,Pigeonpeas
110,79,48,5.9,29.9,87.2,136.1,Mandya,Banana
111,37,21,6.8,26.1,55.3,94.8,Tumakuru,Cotton
127,47,25,5.9,24.2,67.9,49.6,Hassan,Cotton
26,27,30,5.1,24.5,83.3,204.8,Davanagere,Coconut
120,48,27,7.7,28.4,70.1,43.6,Mandya,Cotton
12,41,28,6.0,31.7,73.4,79.4,Chitradurga,Mungbean
25,65,29,6.1,20.0,14.3,95.0,Davanagere,Kidneybeans
86,71,56,5.9,26.0,82.9,102.0,Davanagere,Banana
15,48,13,7.1,30.3,68.4,77.5,Mysuru,Mungbean
49,63,26,6.3,29.0,72.9,81.4,Vijayapura,Blackgram
14,34,27,6.0,29.3,91.1,175.8,Mysuru,Coconut
48,71,15,6.3,29.1,70.3,74.3,Tumakuru,Blackgram
57,31,32,6.2,25.8,77.3,210.7,Mysuru,Rice
47,71,12,7.0,34.6,63.6,60.7,Davanagere,Blackgram
16,55,24,6.3,30.1,17.4,36.7,Belagavi,Lentil
18,121,195,6.1,21.5,71.0,40.1,Chitradurga,Grapes
21,143,196,5.6,27.8,83.2,96.0,Vijayapura,Grapes
37,123,200,6.0,21.9,94.9,105.7,Shivamogga,Apple
89,57,28,5.4,18.9,51.1,115.4,Chitradurga,Maize
17,31,35,5.8,32.2,44.3,96.7,Davanagere,Mango
87,20,24,7.1,26.5,74.2,132.7,Hassan,Coffee
18,27,33,5.8,23.9,83.0,217.9,Chitradurga,Coconut
56,53,28,7.0,23.1,71.9,75.6,Davanagere,Maize
88,24,30,6.4,28.2,68.5,144.4,Hassan,Coffee
88,62,24,6.8,27.5,48.3,41.9,Mysuru,Maize
134,61,19,7.0,25.4,73.4,88.2,Belagavi,Cotton
35,37,56,6.5,33.8,89.4,212.5,Belagavi,Papaya
93,33,32,6.3,29.8,56.0,102.5,Vijayapura,Coffee
41,61,17,6.9,24.1,55.7,73.8,Mandya,Blackgram
24,11,45,6.8,23.4,92.5,127.8,Vijayapura,Pomegranate
115,5,48,6.5,31.1,89.9,69.3,Shivamogga,Muskmelon
82,64,30,6.4,24.5,94.5,190.7,Chitradurga,Jute
20,24,22,5.9,29.2,48.4,85.7,Mysuru,Mango
94,86,46,5.4,29.9,75.1,121.3,Ballari,Banana
29,29,29,5.4,25.9,50.9,106.6,Ballari,Mango
38,43,47,7.1,39.7,90.3,148.3,Chitradurga,Papaya
17,76,24,5.5,36.3,18.2,127.1,Belagavi,Pigeonpeas
12,21,41,6.5,19.9,92.6,101.0,Hassan,Pomegranate
63,36,43,6.7,24.6,92.9,260.0,Chitradurga,Papaya
32,29,30,5.0,28.5,54.5,94.9,Mandya,Mango
23,30,45,6.7,23.9,76.4,89.6,Tumakuru,Pomegranate
102,33,55,6.7,23.6,81.6,38.5,Mysuru,Watermelon
106,32,22,6.0,22.2,64.2,149.1,Ballari,Coffee
29,138,208,6.3,25.8,91.1,122.5,Belagavi,Apple
23,15,35,6.8,24.1,92.7,123.2,Shivamogga,Pomegranate
21,30,5,6.2,23.2,86.7,125.1,Mandya,Orange
92,24,51,5.8,26.0,75.9,30.2,Mysuru,Muskmelon
105,30,54,6.3,31.6,89.5,34.1,Davanagere,Muskmelon
25,73,27,7.5,28.6,26.2,25.8,Belagavi,Lentil
104,71,54,6.3,27.2,85.6,83.4,Shivamogga,Banana
22,48,23,7.0,30.2,62.0,33.2,Tumakuru,Mungbean
17,126,206,5.4,19.3,98.7,82.4,Tumakuru,Apple
26,126,192,6.3,35.4,72.7,70.9,Belagavi,Grapes
25,55,27,8.1,31.2,27.1,88.6,Vijayapura,Mothbeans
14,29,34,6.0,17.3,82.8,85.3,Belagavi,Pomegranate
16,77,21,7.0,28.4,26.4,162.3,Belagavi,Pigeonpeas
12,32,27,6.7,27.0,61.2,53.8,Ballari,Mungbean
96,26,25,7.1,21.4,57.2,127.2,Shivamogga,Coffee
14,37,18,4.5,22.7,40.3,50.7,Vijayapura,Mothbeans
19,58,31,4.8,28.6,20.7,108.7,Chitradurga,Pigeonpeas
64,33,47,6.4,26.6,95.2,131.3,Davanagere,Papaya
12,31,27,6.4,24.1,56.5,68.7,Chitradurga,Mothbeans
109,22,27,6.7,21.4,55.1,213.0,Tumakuru,Coffee
32,60,21,6.3,23.8,27.0,165.6,Vijayapura,Pigeonpeas
89,57,47,6.1,27.2,84.9,132.6,Davanagere,Jute
11,27,19,5.8,21.5,87.7,86.5,Ballari,Orange
107,92,47,6.3,23.8,83.5,97.7,Shivamogga,Banana
104,31,31,7.1,29.3,59.7,160.3,Mandya,Coffee
28,22,38,5.3,26.3,95.2,104.4,Vijayapura,Pomegranate
40,54,36,7.1,17.3,28.9,76.9,Vijayapura,Chickpea
25,34,27,6.9,31.8,62.3,34.7,Ballari,Mungbean
23,50,24,5.4,23.8,13.0,89.4,Hassan,Kidneybeans
31,6,22,6.0,29.8,82.9,226.6,Hassan,Coconut
99,66,55,5.6,30.8,80.2,125.3,Belagavi,Banana
21,120,201,5.7,20.5,75.0,70.3,Mandya,Grapes
44,60,25,7.4,32.0,61.0,66.1,Belagavi,Blackgram
30,8,13,7.5,14.8,91.9,131.1,Davanagere,Orange
103,28,25,6.7,21.1,51.5,219.2,Davanagere,Coffee
18,67,17,7.3,26.9,25.9,64.0,Shivamogga,Lentil
55,64,38,7.6,21.9,89.4,222.2,Tumakuru,Rice
10,59,17,6.2,28.0,12.0,26.7,Tumakuru,Lentil
18,74,23,7.4,31.9,28.9,39.2,Ballari,Lentil
25,22,36,5.4,29.7,42.6,107.9,Davanagere,Mango
19,77,28,4.8,33.1,18.3,105.4,Ballari,Pigeonpeas
28,141,203,6.5,33.0,77.0,52.5,Mandya,Grapes
31,127,198,5.5,26.9,71.6,94.7,Belagavi,Grapes
94,52,35,6.1,21.2,69.9,135.3,Belagavi,Jute
14,31,22,7.3,31.7,60.6,58.8,Davanagere,Mungbean
113,17,43,6.8,24.8,75.1,38.6,Chitradurga,Watermelon
112,77,49,5.7,24.8,81.7,91.5,Mysuru,Banana
74,40,15,6.8,19.7,71.3,86.7,Vijayapura,Maize
42,51,20,7.3,34.0,59.7,49.0,Davanagere,Blackgram
42,58,57,6.4,39.4,89.8,180.8,Vijayapura,Papaya
105,13,33,6.5,21.8,60.7,194.2,Vijayapura,Coffee
110,35,28,6.6,23.0,73.0,108.9,Belagavi,Cotton
43,57,23,5.9,31.7,19.1,155.9,Chitradurga,Pigeonpeas
29,44,13,4.3,30.1,37.2,36.3,Chitradurga,Mothbeans
30,82,43,7.4,21.1,32.8,42.2,Chitradurga,Chickpea
41,53,42,6.4,22.4,25.5,63.8,Hassan,Chickpea
62,33,43,7.2,25.7,85.8,214.9,Hassan,Papaya
109,16,53,6.4,24.5,77.6,27.0,Vijayapura,Watermelon
12,12,21,5.4,33.6,53.2,85.6,Chitradurga,Mango
29,42,11,7.4,27.6,51.8,21.2,Chitradurga,Mothbeans
28,64,11,7.3,27.8,32.3,33.6,Mysuru,Lentil
11,55,28,6.7,24.4,23.7,59.6,Mysuru,Lentil
102,27,40,6.6,31.1,79.9,31.8,Chitradurga,Muskmelon
28,14,24,5.5,27.3,43.7,90.6,Vijayapura,Mango
87,67,45,5.6,28.6,79.2,92.0,Tumakuru,Banana
21,63,48,6.1,22.1,25.3,41.1,Ballari,Chickpea
88,33,41,6.7,29.1,75.3,30.1,Mysuru,Muskmelon
34,22,34,5.6,24.2,86.9,191.3,Chitradurga,Coconut
90,56,27,5.4,17.9,66.7,113.4,Hassan,Maize
82,42,38,5.8,24.8,79.6,288.9,Vijayapura,Rice
34,13,23,4.9,36.7,45.3,74.2,Hassan,Mango
18,71,13,5.6,13.5,13.1,95.8,Chitradurga,Kidneybeans
92,90,51,6.7,29.8,77.6,89.6,Hassan,Banana
31,133,194,5.5,10.0,74.5,90.9,Hassan,Grapes
25,66,42,5.8,23.2,15.1,71.9,Shivamogga,Chickpea
85,14,48,5.9,22.5,92.0,45.0,Vijayapura,Watermelon
21,144,205,5.8,20.3,90.2,89.1,Vijayapura,Apple
122,45,13,6.5,22.5,47.9,109.2,Vijayapura,Cotton
112,15,36,6.2,22.5,73.1,108.3,Hassan,Coffee
12,31,46,5.9,16.4,81.0,82.5,Vijayapura,Pomegranate
23,17,11,7.2,35.4,94.3,120.1,Tumakuru,Orange
14,45,28,6.7,26.2,68.5,50.8,Tumakuru,Mungbean
13,41,26,8.3,32.9,40.7,24.8,Davanagere,Mothbeans
31,68,22,6.6,36.0,58.9,56.7,Belagavi,Blackgram
24,133,206,6.6,8.1,72.2,85.4,Shivamogga,Grapes
25,31,13,8.0,28.0,43.5,33.5,Davanagere,Mothbeans
90,41,39,7.1,36.2,79.5,284.1,Hassan,Rice
29,69,47,7.2,19.9,26.3,64.9,Vijayapura,Chickpea
21,60,40,6.3,26.5,26.3,73.4,Belagavi,Chickpea
16,43,19,5.6,23.6,46.1,41.7,Vijayapura,Mothbeans
20,126,205,6.6,19.4,74.0,89.9,Vijayapura,Grapes
101,26,44,6.0,27.0,84.3,55.8,Chitradurga,Watermelon
15,58,11,6.3,25.1,66.8,51.6,Vijayapura,Mungbean
19,59,14,5.7,24.8,20.0,125.4,Ballari,Kidneybeans
93,51,38,5.9,27.8,91.0,212.4,Mysuru,Jute
44,52,39,7.1,22.0,10.5,68.3,Chitradurga,Chickpea
12,10,37,6.5,25.7,78.3,80.6,Belagavi,Pomegranate
33,127,192,6.3,32.3,83.0,96.1,Belagavi,Grapes
85,72,56,6.0,29.9,80.8,133.5,Chitradurga,Banana
18,33,25,6.0,35.5,58.1,106.3,Chitradurga,Mango
10,42,22,5.2,24.6,59.8,76.8,Hassan,Mothbeans
107,73,51,5.4,28.0,83.3,85.5,Hassan,Banana
24,44,21,5.6,33.4,38.0,52.5,Davanagere,Mothbeans
11,24,16,6.3,24.1,89.0,126.7,Vijayapura,Orange
85,36,40,7.0,26.1,72.6,186.8,Shivamogga,Jute
21,33,21,7.1,31.0,68.4,56.1,Ballari,Mungbean
107,34,49,6.4,26.8,82.2,73.5,Belagavi,Watermelon
29,69,41,6.3,18.2,22.5,40.1,Mandya,Chickpea
29,133,192,6.5,20.6,88.8,106.5,Tumakuru,Apple
43,61,53,7.2,26.3,90.6,180.5,Belagavi,Papaya
34,125,201,6.0,21.7,73.6,77.3,Belagavi,Grapes
33,138,194,5.6,23.8,90.1,83.8,Vijayapura,Apple
82,35,40,7.5,27.1,84.2,176.6,Hassan,Jute
44,58,14,6.4,35.9,61.5,91.1,Tumakuru,Blackgram
113,77,55,5.8,29.1,72.6,93.7,Hassan,Banana
39,67,28,5.5,36.7,18.6,84.6,Tumakuru,Pigeonpeas
26,17,31,6.1,23.1,78.4,196.4,Vijayapura,Coconut
28,24,0,6.3,33.3,86.8,137.1,Chitradurga,Orange
30,122,196,5.6,34.2,88.7,77.0,Davanagere,Grapes
11,31,23,6.5,27.0,56.8,24.3,Mandya,Mungbean
105,75,47,5.9,27.3,80.0,134.3,Davanagere,Banana
16,56,17,6.1,17.6,12.0,164.0,Belagavi,Kidneybeans
104,96,52,5.9,29.1,83.4,99.7,Chitradurga,Banana
58,25,45,6.4,33.9,97.3,263.3,Mysuru,Papaya
119,27,57,6.1,28.0,88.7,65.3,Tumakuru,Muskmelon
78,55,39,6.8,22.3,90.4,149.8,Ballari,Jute
31,13,18,6.8,29.5,94.6,127.8,Davanagere,Orange
28,32,28,6.5,30.8,47.6,101.8,Belagavi,Mango
118,51,24,8.1,24.3,72.5,49.1,Chitradurga,Cotton
21,5,36,4.9,29.3,78.5,223.3,Tumakuru,Coconut
30,73,17,7.2,25.8,64.4,70.1,Davanagere,Blackgram
25,128,204,5.8,14.7,85.6,98.3,Davanagere,Grapes
27,36,27,4.8,22.5,32.6,20.4,Vijayapura,Mothbeans
106,70,45,6.0,23.6,71.5,139.1,Davanagere,Banana
19,9,11,6.2,22.6,98.0,135.2,Mandya,Orange
83,64,39,6.8,26.2,88.9,143.2,Davanagere,Jute
25,19,8,7.3,24.6,99.1,104.6,Belagavi,Orange
25,58,19,5.9,18.1,19.5,28.4,Mysuru,Lentil
20,34,39,4.9,27.7,43.5,107.4,Mandya,Mango
13,20,32,7.1,19.9,100.0,106.5,Tumakuru,Pomegranate
25,30,14,3.9,28.1,33.5,79.0,Shivamogga,Mothbeans
55,56,40,7.0,25.8,68.6,133.6,Davanagere,Rice
11,54,20,5.9,21.0,10.9,66.1,Shivamogga,Kidneybeans
102,15,52,5.8,25.5,81.5,44.4,Tumakuru,Watermelon
66,56,40,6.3,22.1,92.2,136.8,Tumakuru,Jute
126,44,13,6.6,24.2,63.9,117.4,Shivamogga,Cotton
57,31,40,6.2,20.5,70.2,204.4,Tumakuru,Rice
28,32,24,6.9,30.9,61.2,75.3,Shivamogga,Mungbean
32,74,11,6.8,30.6,69.6,54.7,Vijayapura,Blackgram
33,83,32,6.6,24.5,27.2,57.4,Vijayapura,Chickpea
40,49,46,6.4,25.3,86.3,191.6,Mandya,Papaya
59,58,34,6.4,34.7,93.3,243.9,Ballari,Rice
34,125,204,6.3,23.8,85.7,123.8,Vijayapura,Apple
72,46,45,6.8,32.2,92.9,261.6,Hassan,Rice
39,57,16,5.7,32.5,21.6,144.8,Belagavi,Pigeonpeas
34,12,31,5.4,36.2,45.6,119.3,Tumakuru,Mango
31,8,8,6.0,29.4,99.3,100.6,Belagavi,Orange
31,62,41,6.8,22.4,31.8,68.7,Belagavi,Chickpea
34,55,24,7.4,24.1,74.0,41.6,Hassan,Blackgram
58,48,29,6.8,27.3,71.1,49.1,Tumakuru,Maize
93,11,47,7.0,27.6,87.4,34.7,Davanagere,Watermelon
12,27,21,5.7,33.6,45.6,89.5,Davanagere,Mango
16,32,31,5.2,25.0,95.4,172.9,Chitradurga,Coconut
29,63,22,6.2,29.9,29.1,92.3,Davanagere,Pigeonpeas
25,32,44,6.0,22.2,85.5,109.9,Hassan,Pomegranate
17,64,28,6.0,31.6,13.7,96.1,Mandya,Pigeonpeas
10,10,35,6.1,33.0,46.4,97.5,Tumakuru,Mango
31,21,30,5.8,36.4,47.0,115.7,Chitradurga,Mango
85,20,48,5.8,27.6,84.3,45.8,Ballari,Muskmelon
12,15,32,5.6,36.2,47.7,108.0,Mandya,Mango
59,31,37,7.5,22.2,83.5,234.2,Mandya,Rice
32,25,15,6.1,18.3,94.4,106.0,Hassan,Orange
43,124,199,5.6,19.8,85.7,100.6,Ballari,Apple
